Feature,Importance
FS1_features_std,0.1713412512749981
PS2_features_std,0.14506207942853042
FS1_features_mean,0.10106218475847031
PS2_features_mean,0.09574453057714391
FS1_features_q75,0.08498961438374637
FS1_features_median,0.07083654914703845
FS1_features_rms,0.06973384097697657
PS2_features_rms,0.05937449294270067
FS1_features_q25,0.049497030823451534
PS2_features_q25,0.03395250612906014
PS2_features_median,0.03203316668318745
PS2_features_q75,0.030073103438422743
FS1_features_max,0.01983346210649991
FS1_features_range,0.019377978576333756
PS2_features_max,0.008581983675125764
PS2_features_range,0.008506225078313941
PS2_features_min,0.0
FS1_features_min,0.0
