Feature,Importance
FS1_features_std,0.19288235340466578
PS2_features_std,0.1423949569390926
FS1_features_mean,0.10723179028633081
PS2_features_mean,0.09631218465274304
FS1_features_q75,0.09307167683011518
FS1_features_rms,0.07496108949017857
FS1_features_median,0.061061543034811594
PS2_features_rms,0.0546623719901715
PS2_features_q25,0.03620156218129753
FS1_features_q25,0.035326826117802336
PS2_features_q75,0.03154175243166409
PS2_features_median,0.02619476213170895
FS1_features_range,0.01984778279569962
FS1_features_max,0.015085024518138111
PS2_features_range,0.006618148185729419
PS2_features_max,0.0066061750098508395
PS2_features_min,0.0
FS1_features_min,0.0
