Feature,Importance
FS1_features_std,0.16642490915849736
PS2_features_std,0.15721829750752797
PS2_features_mean,0.10429546241640111
FS1_features_q75,0.09436029431956584
FS1_features_mean,0.0907456127170313
FS1_features_median,0.07645234893965723
FS1_features_rms,0.07178199657916201
PS2_features_rms,0.05001635972174761
FS1_features_q25,0.040554890484286246
PS2_features_q25,0.03183440224365461
PS2_features_q75,0.031056867767846552
PS2_features_median,0.029300122516325893
FS1_features_max,0.020091366549039938
FS1_features_range,0.01905288750879324
PS2_features_range,0.00918940660423904
PS2_features_max,0.0076247749662241866
FS1_features_min,0.0
PS2_features_min,0.0
